Year_Fraction,Smoothed_GIA
2017.0914650,38.85
2017.1186310,38.72
2017.1457970,38.84
2017.1729630,39.13
2017.2001290,39.47
2017.2272960,39.69
2017.2544620,39.67
2017.2816280,39.35
2017.3087940,38.77
2017.3359600,38.09
2017.3631260,37.53
2017.3902930,37.24
2017.4174590,37.30
2017.4446250,37.68
2017.4717910,38.30
2017.4989570,39.19
2017.5261230,40.37
2017.5532890,41.80
2017.5804560,43.31
2017.6076220,44.75
2017.6347880,46.03
2017.6619540,47.08
2017.6891200,47.83
2017.7162860,48.20
2017.7434530,48.28
2017.7706190,48.29
2017.7977850,48.41
2017.8249510,48.65
2017.8521170,48.89
2017.8792830,48.92
2017.9064490,48.57
2017.9336160,47.80
2017.9607820,46.70
2017.9879480,45.55
2018.0151140,44.63
2018.0422800,44.03
2018.0694460,43.61
2018.0966130,43.18
2018.1237790,42.72
2018.1509450,42.32
2018.1781110,42.02
2018.2052770,41.70
2018.2324430,41.29
2018.2596090,40.85
2018.2867760,40.51
2018.3139420,40.36
2018.3411080,40.38
2018.3682740,40.54
2018.3954400,40.80
2018.4226060,41.14
2018.4497720,41.57
2018.4769390,42.20
2018.5041050,43.08
2018.5312710,44.18
2018.5584370,45.37
2018.5856030,46.60
2018.6127690,47.92
2018.6399360,49.41
2018.6671020,51.00
2018.6942680,52.52
2018.7214340,53.73
2018.7486000,54.50
2018.7757660,54.80
2018.8029320,54.63
2018.8300990,54.01
2018.8572650,53.02
2018.8844310,51.84
2018.9115970,50.71
2018.9387630,49.84
2018.9659290,49.53
2018.9930960,49.12
2019.0202620,49.22
2019.0474280,49.46
2019.0745940,49.64
2019.1017600,49.84
2019.1289260,49.96
2019.1560920,50.10
2019.1832590,50.19
2019.2104250,50.06
2019.2375910,49.69
2019.2647570,49.24
2019.2919230,48.98
2019.3190890,49.05
2019.3462560,49.06
2019.3734220,49.14
2019.4005880,49.26
2019.4277540,49.71
2019.4549200,50.08
2019.4820860,50.81
2019.5092520,51.71
2019.5364190,52.82
2019.5635850,54.21
2019.5907510,55.85
2019.6179170,57.57
2019.6450830,59.07
2019.6722490,60.12
2019.6994150,60.61
2019.7265820,60.60
2019.7537480,60.27
2019.7809140,59.84
2019.8080800,59.46
2019.8352460,59.19
2019.8624120,58.96
2019.8895790,58.23
2019.9167450,57.72
2019.9439110,56.95
2019.9710770,55.77
2019.9982430,54.52
2020.0253400,53.39
2020.0524320,52.51
2020.0795240,52.04
2020.1066160,52.04
2020.1337080,52.20
2020.1608000,52.22
2020.1878910,52.02
2020.2149830,51.65
2020.2420750,51.26
2020.2691670,50.93
2020.2962590,50.63
2020.3233510,50.60
2020.3504430,50.64
2020.3775350,50.60
2020.4046270,50.52
2020.4317190,50.54
2020.4588110,50.83
2020.4859030,51.45
2020.5129950,52.32
2020.5400870,53.31
2020.5671780,54.32
2020.5942700,55.35
2020.6213620,56.42
2020.6484540,57.54
2020.6755460,58.61
2020.7026380,59.51
2020.7297300,60.15
2020.7568220,60.52
2020.7839140,60.62
2020.8110060,60.41
2020.8380980,59.84
2020.8651900,58.97
2020.8922820,57.97
2020.9193740,57.08
2020.9464650,56.48
2020.9735570,56.19
2021.0006510,56.10
2021.0278170,55.98
2021.0549830,55.65
2021.0821500,55.02
2021.1093160,54.22
2021.1364820,53.51
2021.1636480,53.16
2021.1908140,53.25
2021.2179800,53.64
2021.2451460,54.05
2021.2723130,54.24
2021.2994790,54.16
2021.3266450,53.94
2021.3538110,53.72
2021.3809770,53.60
2021.4081430,53.63
2021.4353100,53.88
2021.4624760,54.40
2021.4896420,55.23
2021.5168080,56.33
2021.5439740,57.65
2021.5711400,59.08
2021.5983060,60.48
2021.6254730,61.71
2021.6526390,62.77
2021.6798050,63.70
2021.7069710,64.49
2021.7341370,65.09
2021.7613030,65.38
2021.7884690,65.30
2021.8156360,64.84
2021.8428020,64.11
2021.8699680,63.28
2021.8971340,62.50
2021.9243000,61.79
2021.9514660,61.16
2021.9786330,60.71
2022.0057990,60.47
2022.0329650,60.33
2022.0601310,60.04
2022.0872970,59.42
2022.1144630,58.50
2022.1416290,57.52
2022.1687960,56.80
2022.1959620,56.50
2022.2231280,56.56
2022.2502940,56.72
2022.2774600,56.72
2022.3046260,56.39
2022.3317930,55.74
2022.3589590,54.99
2022.3861250,54.46
2022.4132910,54.44
2022.4404570,55.05
2022.4676230,56.20
2022.4947890,57.60
2022.5219560,58.93
2022.5491220,60.05
2022.5762880,61.06
2022.6034540,62.17
2022.6306200,63.46
2022.6577860,64.76
2022.6849530,65.85
2022.7121190,66.59
2022.7392850,66.94
2022.7664510,66.95
2022.7936170,66.62
2022.8207830,66.00
2022.8479490,65.18
2022.8751160,64.40
2022.9022820,63.90
2022.9294480,63.74
2022.9566140,63.75
2022.9837800,63.64
2023.0109460,63.30
2023.0381130,62.82
2023.0652790,62.33
2023.0924450,61.89
2023.1196110,61.53
2023.1467770,61.23
2023.1739430,60.93
2023.2011090,60.54
2023.2282760,60.03
2023.2554420,59.52
2023.2826080,59.23
2023.3097740,59.34
2023.3369400,59.83
2023.3641060,60.57
2023.3912720,61.42
2023.4184390,62.35
2023.4456050,63.44
2023.4727710,64.77
2023.4999370,66.36
2023.5271030,68.14
2023.5542690,69.98
2023.5814360,71.73
2023.6086020,73.22
2023.6357680,74.41
2023.6629340,75.42
2023.6901000,76.49
2023.7172660,77.69
2023.7444320,78.84
2023.7715990,79.57
2023.7987650,79.60
2023.8259310,78.98
